1000750,575593,2011-09-12,7,2300.000,应县,2012-09-19
1000924,799727,2012-07-08,2,550.000,洛阳,2012-09-19
1004937,799727,2012-08-14,1,330.000,少林寺,2012-09-24
1005583,224778,2012-09-15,2,500.000,阳澄湖,2012-09-24
1005995,5448621,2012-09-27,6,4500.000,成都,2012-09-24
1007691,633695,2013-09-15,5,1500.000,乌兰布统,2012-09-26
1007693,16017828,2012-06-12,16,23000.000,纽约,2012-09-26
1008438,597471,2012-07-20,10,2000.000,羊卓雍错,2012-09-26
1008556,311594,2012-06-22,3,0.000,澳门,2012-09-26
1009165,575593,2011-09-12,7,2300.000,大同,2012-09-27
1009703,636229,2012-08-28,3,1500.000,上海,2012-09-27
1009986,575593,2010-10-27,1,40.000,香山,2012-09-28
1009997,575593,2010-10-27,1,40.000,香山,2012-09-28
1010003,575593,2010-10-14,1,25.000,北京,2012-09-28
1010017,575593,2010-11-01,2,150.000,天津,2012-09-28
1012648,17192660,2012-08-08,6,2000.000,陕北,2012-10-01
1013166,17090474,2013-08-15,3,0.000,上海,2012-10-02
1013217,16017828,2012-06-12,16,23000.000,华盛顿,2012-10-02
1013607,5164507,2012-10-02,1,10.000,中山公园,2012-10-02
1013704,17473101,2012-09-13,8,2000.000,西安,2012-10-02
1015171,313661,2012-09-30,4,600.000,三清山,2012-10-04
1015286,766552,2012-09-17,2,600.000,周庄,2012-10-04
1017262,864289,2012-10-01,4,3000.000,哈尔滨,2012-10-06
1017536,17473101,2011-11-09,4,1300.000,凤凰,2012-10-07
1017733,817759,2012-02-19,13,0.000,元阳,2012-10-07
1017804,16017828,2012-06-12,16,23000.000,尼亚加拉瀑布城(美国),2012-10-07
1018158,17053471,2012-08-22,2,500.000,广东,2012-10-07
1018602,17465397,2012-07-10,4,800.000,川北,2012-10-07
1018627,17140763,2012-09-14,3,659.000,安阳,2012-10-07
1018888,624428,2012-10-01,5,6000.000,新加坡,2012-10-07
1020593,19080674,2012-06-11,8,8000.000,丽江,2012-10-09
1020594,766348,2012-10-06,3,1000.000,鸭绿江,2012-10-09
1021138,16017828,2012-06-12,16,23000.000,美国西海岸,2012-10-09
1022024,876358,2012-10-01,7,0.000,普吉岛,2012-10-09
1022034,5094364,2012-07-29,10,3000.000,青海,2012-10-09
1022102,5203196,2012-08-15,3,3000.000,丽江,2012-10-10
1022117,5169294,2011-10-28,2,300.000,鼓浪屿,2012-10-10
1022352,575593,2012-09-12,7,2300.000,平遥,2012-10-10
1022570,830821,2012-10-01,6,5500.000,马六甲,2012-10-10
1023258,332392,2012-09-22,15,8000.000,北疆,2012-10-10
1023823,9950683,2012-10-01,6,300.000,沽源,2012-10-11
1024289,540454,2012-10-02,6,12000.000,北海道,2012-10-11
1024667,759575,2012-09-28,6,5000.000,香港,2012-10-11
1025217,472695,2013-09-26,6,5000.000,北疆,2012-10-12
1025865,791673,2012-09-30,7,1500.000,西安,2012-10-12
1026159,17140763,2012-10-01,2,268.000,沂水,2012-10-13
1027196,5236023,2013-10-02,1,200.000,喇叭沟门,2012-10-14
1027964,17413934,2012-10-06,9,6500.000,清迈,2012-10-14
1028212,607041,2012-09-30,8,2100.000,西北,2012-10-14
1029385,5169294,2011-10-05,1,60.000,南澳岛,2012-10-15
1029518,214108,2012-09-28,5,1000.000,七藏沟,2012-10-16
1030785,213278,2012-06-30,1,0.000,邯郸,2012-10-17
1030985,19050878,2012-10-17,3,1300.000,太原,2012-10-17
1031820,16017828,2012-06-12,16,23000.000,夏威夷,2012-10-17
1032427,158453,2012-10-08,6,3600.000,张家界,2012-10-18
1034180,332392,2012-09-22,15,8000.000,北疆,2012-10-20
1036179,10522963,2012-10-02,0,0.000,额济纳旗,2012-10-22
