北京,116.395645,39.929986
石家庄,112.039968,35.119719
深圳,114.025974,22.546054
海口,110.330802,20.022071
成都,104.067923,30.679943
上海,121.487899,31.249162
佛山,113.134026,23.035095
大连,121.593478,38.94871
哈尔滨,126.657717,45.773225
威海,122.093958,37.528787
天津,117.210813,39.14393
南京,118.778074,32.057236
苏州,120.619907,31.317987
郑州,113.649644,34.75661
长沙,112.979353,28.213478
武汉,114.3162,30.581084
广州,113.30765,23.120049
厦门,118.103886,24.489231
济南,117.024967,36.682785
广东广州,113.30765,23.120049
福州,119.330221,26.047125
南宁,108.297234,22.806493
无锡,120.305456,31.570037
珠海,113.562447,22.256915
杭州,120.219375,30.259244
漳州,117.676205,24.517065
宁波,121.579006,29.885259
常州,119.981861,31.771397
济宁,116.600798,35.402122
昆明,102.714601,25.049153
西宁,101.767921,36.640739
温州,120.690635,28.002838
吉林,126.564544,43.871988
青岛,120.384428,36.105215
兰州,103.823305,36.064226
淮安,119.030186,33.606513
琼海,110.414359,19.21483
乌鲁木齐,87.564988,43.84038
绵阳,104.705519,31.504701
金华,119.652576,29.102899
保定,115.49481,38.886565
沈阳,123.432791,41.808645
东莞,113.763434,23.043024
涿州,115.999054,39.482482
咸阳,108.707509,34.345373
北戴河,119.479321,39.854293
常熟,120.831486,31.669446
重庆,106.530635,29.544606
广东,113.394818,23.408004
古城,100.328596,26.8593
三亚,109.522771,18.257776
南昌,115.893528,28.689578
合肥,117.282699,31.866942
广东东莞,113.763434,23.043024
北京市,116.395645,39.929986
太原,112.550864,37.890277
香港,114.186124,22.293586
长春,125.313642,43.898338
临沂,118.340768,35.072409
乐山,103.760824,29.600958
开封,114.351642,34.801854
徐州,117.188107,34.271553
贵州,106.734996,26.902826
北海,109.122628,21.472718
邓州,112.056861,32.68465
张家口,114.893782,40.811188
唐山,118.183451,39.650531
河南,113.486804,34.157184
湖北,112.410562,31.209316
江西,115.676082,27.757258
贺州,111.552594,24.411054
洛阳,112.447525,34.657368
北京,91.111891,29.662557
抚顺,123.92982,41.877304
德阳,104.402398,31.13114
眉山,103.84143,30.061115
鞍山,123.007763,41.118744
湛江市,110.365067,21.257463
贵阳,106.709177,26.629907
娄底,111.996396,27.741073
邵阳,111.461525,27.236811
黄冈,114.906618,30.446109
湛江,110.365067,21.257463
江门,113.078125,22.575117
台州,121.440613,28.668283
烟台,121.309555,37.536562
